country,Strength of legal rights index,"Wage and salaried workers, total (% of total employment)","Vulnerable employment, total (% of total employment)",GDP per capita (current LCU)
Arab World,12.121212121212082,68.1840664196293,26.3226043074514,0.0
Caribbean small states,44.87179487179492,68.9985356814896,27.091529522624,0.0
Central Europe and the Baltics,59.84848484848484,81.3492688487081,15.2906445427081,0.0
Early-demographic dividend,36.338797814207666,38.5543053970462,58.7644075991836,0.0
East Asia & Pacific,54.88505747126433,61.4023376033247,35.3150741372504,0.0
East Asia & Pacific (excluding high income),52.083333333333336,58.8315537249853,37.9175810489956,0.0
East Asia & Pacific (IDA & IBRD countries),53.571428571428584,59.205401875027,37.5123539231856,0.0
Euro area,39.473684210526336,84.6715233434508,10.5331221256726,0.0
Europe & Central Asia,48.639455782312915,82.3702981770505,14.1876194009354,0.0
Europe & Central Asia (excluding high income),54.583333333333336,79.6194528190125,18.0109434555566,0.0
Europe & Central Asia (IDA & IBRD countries),54.166666666666664,79.6409890345031,17.8288768661208,0.0
European Union,47.0238095238095,84.1159727440149,11.713317895098,0.0
Fragile and conflict affected situations,36.428571428571416,35.501209537625,61.0965342506405,0.0
Heavily indebted poor countries (HIPC),41.239316239316246,23.5834186567544,73.8788145850615,0.0
High income,44.91525423728817,85.7321179083769,10.3943017157211,0.0
IBRD only,40.920398009950254,53.2553953170874,43.661242790175,0.0
IDA & IBRD total,42.37588652482267,48.1799599773163,48.8597361885846,0.0
IDA blend,44.270833333333336,34.1617496950245,63.7221285168543,0.0
IDA only,43.53448275862067,28.1654390059004,69.1425593569673,0.0
IDA total,43.69369369369367,29.9692086521341,67.5120219939454,0.0
Late-demographic dividend,47.22222222222225,64.1763846563454,32.5430404607675,0.0
Latin America & Caribbean,44.19191919191917,63.3912107451336,31.9474080228138,0.0
Latin America & Caribbean (excluding high income),42.02898550724641,62.1137692163784,33.1804428181076,0.0
Latin America & the Caribbean (IDA & IBRD countries),41.944444444444414,63.3018425255748,32.4337305360846,0.0
Least developed countries: UN classification,40.217391304347835,27.075617610274,70.4177590021377,0.0
Low & middle income,41.85750636132317,47.6117887452449,49.4173715904809,0.0
Low income,39.89898989898992,22.8986911131366,74.8768707001419,0.0
Lower middle income,42.198581560283664,34.1276811455028,63.3519606640189,0.0
Middle East & North Africa,12.301587301587334,68.4578357439454,26.2475930731742,0.0
Middle East & North Africa (excluding high income),9.615384615384583,60.88247856305,32.8791230343458,0.0
Middle East & North Africa (IDA & IBRD countries),10.416666666666666,60.9173510097751,32.8172104456807,0.0
Middle income,42.51700680272108,50.5504090357068,46.3899971276599,0.0
North America,83.33333333333333,89.5526800771752,6.67406308788084,0.0
Not classified,0.0,0.0,0.0,0.0
OECD members,50.23809523809525,83.4144735916504,12.5694959759293,0.0
Other small states,34.93589743589742,71.6586552327988,25.9936038757594,0.0
Pacific island small states,69.44444444444441,46.9926171260936,51.5471577358606,0.0
Post-demographic dividend,49.537037037037,86.1612451845858,9.8112197267874,0.0
Pre-demographic dividend,40.76576576576576,25.8440880496166,71.3292568502957,0.0
Small states,44.09722222222225,69.8909693107383,27.5043015770075,0.0
South Asia,37.5,25.1126684197384,73.2409841202976,0.0
South Asia (IDA & IBRD),37.5,25.1126684197384,73.2409841202976,0.0
Sub-Saharan Africa,41.145833333333336,26.0097908103425,71.2619345075266,0.0
Sub-Saharan Africa (excluding high income),41.666666666666664,26.0097908103425,71.2619345075266,0.0
Sub-Saharan Africa (IDA & IBRD countries),41.145833333333336,26.0097908103425,71.2619345075266,0.0
