country,Strength of legal rights index,"Wage and salaried workers, total (% of total employment)","Vulnerable employment, total (% of total employment)",GDP per capita (current US$),decent_work_score
Albania,6.0,40.568000793457,56.9970016479493,4131.87234065272,2.2087169987364708
Algeria,2.0,69.0950012207031,27.8259994983673,3916.88157088626,1.559626015552195
Angola,1.0,28.5179996490479,66.5479984283447,3308.77282845577,1.6483676401349758
Argentina,3.0,74.9489974975586,21.1129991412162,12654.3549989958,2.0153167784023944
Armenia,6.0,58.7849998474121,40.3280000686646,3605.74311684256,2.094348252911152
Australia,11.0,82.8889999389648,10.8910001069307,49896.6811009246,4.506431167524618
Austria,4.0,87.25,8.18999981880188,44731.0108553361,3.4901173534075585
Azerbaijan,2.0,31.7999992370605,55.0669994354248,3880.73873089556,1.6297812344843867
"Bahamas, The",6.0,81.2129974365234,14.5139997005462,30260.3059054474,3.101874925568767
Bahrain,1.0,96.7320022583008,1.82000002264977,22560.5812707477,2.1424497378946072
Bangladesh,5.0,39.548999786377,57.6500005722046,1358.77902884543,1.971935279871011
Barbados,7.0,83.2060012817383,15.9280000180006,15891.6265491446,2.60682329443687
Belarus,2.0,96.7149963378906,2.55199990794063,5022.62664330491,1.4723533446396768
Belgium,4.0,85.1259994506836,10.7070000171661,41260.9775511468,3.3530915548945868
Belize,4.0,68.6009979248047,26.2689995765686,4960.18179390332,1.7996132573804589
Benin,6.0,10.8830003738403,87.8539972305297,788.532442415695,2.2659296267386715
Bhutan,4.0,28.5230007171631,71.390998840332,2773.54713530224,2.03930247130222
Bosnia and Herzegovina,7.0,74.5749969482422,20.8559994697571,4808.63604287112,2.0991336200403907
Botswana,5.0,82.1439971923828,14.9750001430511,6954.17430629368,1.9523873067803688
Brazil,2.0,68.1149978637695,27.4889996051788,8639.36574344537,1.7578711452755802
Brunei Darussalam,5.0,92.7440032958984,5.13599997758865,26939.418047044,2.8018827532441963
Bulgaria,9.0,88.2389984130859,8.19500023126603,7469.44770298113,2.37248772101687
Burkina Faso,6.0,12.0480003356934,87.2390022277832,613.993127495919,2.259680936149043
Burundi,2.0,6.77299976348877,92.345003604889,285.727442064745,1.8287267422018478
Cabo Verde,2.0,59.9860000610352,37.6410007476807,3037.52564241437,1.5895305369260089
Cambodia,10.0,48.4230003356934,51.1299991607666,1269.90723818939,2.508859062314852
Cameroon,6.0,24.8169994354248,71.6400021314621,1374.5158991066,2.16602540921109
Canada,9.0,84.6449966430664,10.7439996898174,42348.9454605979,3.956729358617618
Central African Republic,6.0,30.9020004272461,67.3499972820282,382.07028106683,2.1119468593972304
Chad,6.0,8.16199970245361,91.5009994506836,651.237243761606,2.2923367770255463
Chile,4.0,72.1740036010742,23.753000497818,13960.894209996,2.201638134527407
China,4.0,63.6230010986328,33.0220003128051,8117.26746543179,2.0035109709621994
Colombia,12.0,48.9930000305176,47.071001291275,5756.86160202051,2.8741908186491414
Comoros,6.0,30.9389991760254,63.8699989318847,775.080084631843,2.072686706334365
